timestamp,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,gyro_z
2024-01-01T00:00:00,0.05,-0.02,9.81,30.00,0.00,5.00,0.0873
2024-01-01T00:00:01,0.04,-0.03,9.78,29.89,2.62,5.05,0.0869
2024-01-01T00:00:02,0.03,-0.01,9.84,29.54,5.21,5.10,0.0875
2024-01-01T00:00:03,0.02,-0.02,9.79,28.98,7.76,5.15,0.0871
2024-01-01T00:00:04,0.04,0.00,9.80,28.19,10.26,5.20,0.0870
2024-01-01T00:00:05,0.03,0.02,9.82,27.19,12.68,5.25,0.0874
2024-01-01T00:00:06,0.01,0.03,9.77,25.98,15.00,5.30,0.0872
2024-01-01T00:00:07,0.00,0.02,9.81,24.58,17.21,5.35,0.0876
2024-01-01T00:00:08,-0.01,0.03,9.83,22.98,19.28,5.40,0.0873
2024-01-01T00:00:09,0.00,0.01,9.79,21.21,21.21,5.45,0.0871
2024-01-01T00:00:10,0.02,0.02,9.80,19.28,22.98,5.50,0.0875
2024-01-01T00:00:11,0.03,0.01,9.82,17.21,24.58,5.55,0.0872
2024-01-01T00:00:12,0.02,0.00,9.78,15.00,25.98,5.60,0.0874
2024-01-01T00:00:13,0.01,-0.01,9.81,12.68,27.19,5.65,0.0873
2024-01-01T00:00:14,0.00,0.00,9.80,10.26,28.19,5.70,0.0870
